sector_id,sector_name,backward_linkage,forward_linkage,is_key_sector,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank
38,Sugar,7.806337366351986,1.0588031696610514,False,0.2076923076923077,0.001017623281728728,0.46365307998774136,0.04815863411602482,0.006048604802733275
39,"Khandsari, boora",7.826715121413818,1.0298453278799997,False,0.17692307692307693,6.978961070742259e-05,0.4750078492935636,0.049819299638136916,0.006397271420654346
40,"Hydrogenated
 oil(vanaspati)",9.287575152397304,1.086266233007484,False,0.25384615384615383,0.0007731703290732976,0.49312255541069105,0.06724699309706172,0.009039811954236894
41,"Edible oils other than
 vanaspati",8.34808665358319,1.6535951223228627,False,0.3307692307692308,0.005131923922693606,0.5081961706415855,0.07656165118213717,0.010290406015967504
42,Tea and coffee processing,7.22345312287979,1.0279486963032036,False,0.18461538461538463,0.00017788727125052695,0.4788539395826845,0.053408417755170065,0.011778935123502837
43,"Miscellaneous food
 products",7.951248333069939,1.4904746606800598,False,0.5230769230769231,0.03507332315837958,0.5438173975557153,0.08894955942754817,0.01586644908566862
44,"Grain Mill products, starch and starch products",7.886302488951106,1.211304032464838,False,0.34615384615384615,0.009018194359770757,0.49104186952288215,0.06343057506891608,0.009255723106144418
45,Beverages,6.735902071059112,1.047035543427024,False,0.30000000000000004,0.0021203075198861407,0.5126736699423924,0.08043413075255278,0.015732423754758997
46,Tobacco Products,1.7747152696585853,1.0471972080370424,False,0.2,0.0,0.5092894393741851,0.07132246907511669,0.04529397263144181
47,"Khadi, cotton
 textiles(handlooms)",1.3356034763484335,1.1593706399900547,False,0.2153846153846154,9.348612758744939e-05,0.44760355029585797,0.04481765483900888,0.004087982839834518
48,Cotton textiles,2.292327868514612,1.4811669978315514,False,0.2923076923076923,0.0021300487479949236,0.4769546027742748,0.07033798569432916,0.007845086257665862
49,Woolen textiles,1.9733763408038798,1.3450349575305511,False,0.2692307692307693,0.007998152824621475,0.48897866839043314,0.07626422014491427,0.01605381952220599
50,Silk textiles,2.475035020993947,1.103557259430242,False,0.2692307692307693,0.0004781611286128885,0.49733727810650885,0.08119109520337163,0.009750153976728066
51,"Art silk, synthetic fiber
 textiles",2.7393149827115093,1.7686722586175097,False,0.3769230769230769,0.0058188155559852186,0.48693273253942704,0.07860192582398098,0.008795987915604696
52,"Jute, hemp, mesta textiles",2.1631957696398647,1.268224713592611,False,0.38461538461538464,0.008717545247737027,0.5016246684350132,0.08073937614366115,0.00883011752984296
53,Carpet weaving,1.7882184721428314,1.0034811303745643,False,0.24615384615384617,5.8081663300041075e-05,0.5059866220735786,0.09377010590530994,0.00991451409327606
54,"Miscellaneous textile
 products",2.448410507463411,1.2502484592741498,False,0.4461538461538462,0.003958866487632936,0.5338390966831333,0.10926009256417214,0.010638598015377015
55,Ready made garments,2.4029309358369866,1.6908543817420911,False,0.5230769230769231,0.02100161103709782,0.5218696102104174,0.10830260894939914,0.0109338828799004
56,"Wood and wood products
 except furniture",2.196140175957274,2.083623589083866,False,0.5153846153846154,0.005181650699861306,0.5218696102104174,0.1270430202176341,0.008608834996755584
57,"Paper, Paper products and
 newsprint",2.8019465572016085,3.675971430563448,True,0.6692307692307693,0.00918761813753118,0.5081961706415855,0.09593611103541454,0.005949163622064091
58,"Publishing, printing and
 allied activities",1.6777259313684327,1.233652424260032,False,0.3076923076923077,0.0015741811311037368,0.4711616318903768,0.07782571671714468,0.0047124106411414995
59,Furniture & Fixtures,2.2365456095748035,1.1964055252517385,False,0.4076923076923077,0.0028836615354611884,0.5104251012145749,0.11925412613996832,0.007572070995700358
60,Leather footwear,2.097082525715589,1.021484676967925,False,0.17692307692307693,0.00014766449060119114,0.47891737891737896,0.07276675063173803,0.004996655009010806
61,"Leather and leather
 products",2.644624433440173,1.3310152908049486,False,0.2923076923076923,0.0007183712210792375,0.4952209492635024,0.0855310972476845,0.006697579566979562
62,Rubber products,2.4953865422512687,1.9678586296059801,False,0.7307692307692308,0.014367250070895732,0.5515493984688298,0.14612159720234766,0.010400475027916876
63,Plastic products,2.916138830328864,3.773908697041559,True,0.9,0.021832460917036327,0.5438173975557153,0.12788505928043395,0.009145948441648281
64,Petroleum products,2.590901735990966,12.329200243826666,True,1.1923076923076923,0.029727713259125092,0.5016246684350132,0.09551337750463035,0.0061858663604550555
65,Coal tar products,2.3428714529576373,1.2880654377237872,False,0.3307692307692308,0.0011660593423174054,0.5195398351648352,0.10249930784128716,0.007096936060942109
66,Inorganic heavy chemicals,3.0170840095300595,5.864811620629886,True,0.8461538461538463,0.021107817028934488,0.5568273831431726,0.1162240688487337,0.010462381062318213
67,Organic heavy chemicals,2.819235753794556,7.996421015457155,True,0.7846153846153847,0.020244103685550043,0.5568273831431726,0.11132013897710587,0.011502186937401567
68,Fertilizers,3.1692098861961444,2.246813607493209,False,0.4461538461538462,0.011221199583484361,0.48897866839043314,0.06948477008984233,0.005754944155382437
69,Pesticides,3.24055504496401,2.074881161318229,False,0.46153846153846156,0.007302671427420418,0.5515493984688298,0.12003834425825807,0.008780782761949237
70,"Paints, varnishes and
 lacquers",2.8343036859615824,1.4514564395594611,False,0.7000000000000001,0.012411766487354953,0.5595044378698225,0.1302144190817051,0.011325591767052135
71,"Soaps, cosmetics &
 glycerin",3.0769886173093703,1.2601557313767378,False,0.5230769230769231,0.008740873974356874,0.5732853353543009,0.12736232076343482,0.012618548345779081
72,"Synthetic fibers, resin",3.052158720857915,2.6139099300070177,True,0.6923076923076923,0.020447274095227296,0.5622073578595317,0.12399308718121284,0.012787082403133988
73,Other chemicals,2.7370143378036307,3.863795517428938,True,0.9,0.03448192908307704,0.5998810467882633,0.15942702895016564,0.015045292708575632
74,Drugs and medicine,2.402424164105152,1.724376122700416,False,0.19230769230769232,0.0020530774801135634,0.4618131868131868,0.05488623017974396,0.0054896151249445154
75,Structural clay products,2.234428583978374,1.2736796592225914,False,0.2230769230769231,0.0008670679647165338,0.47307692307692306,0.06939697309953997,0.008297988441313029
76,Cement,2.4706580086738343,1.3158195993199537,False,0.19230769230769232,0.0013594126555145608,0.4408216783216783,0.04233631793867612,0.006411655096645075
77,"Other non-metallic mineral
 prods.",2.770446537227374,1.8066113115641869,False,0.5461538461538462,0.00891328703173599,0.5149421375085091,0.11511961443374395,0.010825528089860079
78,"Iron, steel and ferro alloys",2.7753855731960613,2.218640401524393,False,0.4307692307692308,0.0016420973978809289,0.4673772011121408,0.06853588130194899,0.005048379225348015
79,"Iron and steel casting &
 forging",2.6477156402984754,4.46051394508516,True,0.5461538461538462,0.0034061466646636554,0.4952209492635024,0.10279615440154628,0.007219568454945495
80,Iron and steel foundries,2.5900972124797375,3.8395169257857615,True,0.6307692307692307,0.008199014440989728,0.5218696102104174,0.13374835293357726,0.00942712085207475
81,"Non ferrous basic metals
 (including alloys)",2.817683105415239,5.791816510159991,True,0.6461538461538462,0.006415251884844813,0.5218696102104174,0.12491173719192279,0.009013438243348285
82,"Hand tools, hardware",2.1168477794534533,1.4349572063295661,False,0.5923076923076923,0.0030727795064439288,0.5172307692307692,0.131332171000618,0.006942964728748943
83,"Miscellaneous metal
 products",2.3316483785076514,3.6235785512597465,False,0.7615384615384616,0.016623313244750425,0.5265924121127741,0.13553235819529957,0.010274498355229545
84,"Tractors and agri.
 implements",2.2471819581876296,1.0433146846466737,False,0.3230769230769231,0.004183635641900731,0.5037962037962037,0.12430802719551318,0.008366520084848953
85,Industrial machinery(F & T),2.6290383479025645,1.0507511206961724,False,0.34615384615384615,0.0011345790541961544,0.5149421375085091,0.1290823235031469,0.007746458239470352
86,"Industrial
 machinery(others)",2.2875545222068827,1.24189076215334,False,0.4538461538461539,0.004123730611427777,0.5195398351648352,0.1387644214684448,0.009559026779718505
87,Machine tools,2.5649384568255127,1.1636713014841547,False,0.5923076923076923,0.004677314361524397,0.5622073578595317,0.1829890165010097,0.013796619197717595
88,"Other non-electrical
 machinery",2.5142490120593464,1.6300486458563423,False,0.7000000000000001,0.012639146518500276,0.5438173975557153,0.1635905459699025,0.011425413894754861
89,"Electrical industrial
 Machinery",2.285320661977653,1.134741919684212,False,0.39230769230769236,0.0009097842144910828,0.5149421375085091,0.13714475149436295,0.00856388204139756
90,Electrical wires & cables,2.475057764520979,1.1554495105775555,False,0.3153846153846154,0.00046785500603801475,0.5059866220735786,0.11332195055906065,0.006827021261264677
91,Batteries,1.938602344886454,1.1764343152650334,False,0.4,0.0022297696971180243,0.5126736699423924,0.13323078518460602,0.008309576612271252
92,Other electrical Machinery,1.1611267479304652,2.180394936686107,False,0.4307692307692308,0.0006068118472208046,0.4458885941644562,0.04483114018298908,0.0026542351685370515
93,Electrical appliances,2.5372370129664126,1.2578414999694356,False,0.46923076923076923,0.0038703935813553685,0.5242203742203742,0.14925755383644568,0.00922836706734314
94,"Electronic
 equipments(incl.TV)",2.394002070789237,1.6674211900730629,False,0.6307692307692307,0.009405167622777138,0.5265924121127741,0.15068593121304152,0.009880631924322937
95,Watches and clocks,2.555852032964846,1.2169642891111443,False,0.3076923076923077,0.0015438913894865465,0.47891737891737896,0.08381280414617277,0.00521223798533905
