source_sector,target_sector,input_coefficient,input_value
Fruits,Other chemicals,0.015172426429006075,172244.0
Fruits,Trade,0.0018823185697390782,404223.0
Fruits,Hotels & Restaurant,0.0021885396599982316,81284.0
Fruits,"Public administration and
 defence",0.001007090352158225,99028.0
Vegetables,Vegetables,0.003105745685552655,77596.0
Vegetables,Other liv.st. produ.,0.0012557475635010704,21466.0
Vegetables,"Miscellaneous food
 products",0.0018040752676377026,76065.0
Vegetables,Beverages,0.0018551252598784198,12511.0
Vegetables,"Soaps, cosmetics &
 glycerin",0.0011169925162802575,9443.0
Vegetables,Other chemicals,0.0013486973192361534,15311.0
Vegetables,Hotels & Restaurant,0.013493858551260195,501172.0
Vegetables,"Public administration and
 defence",0.004725060713428549,464619.0
Other crops,Pulses,0.007710372280296862,47200.0
Other crops,Other oilseeds,0.0014928772288096237,10888.0
Other crops,Other crops,0.04965353726081477,1816784.0
Other crops,Milk and milk products,0.0998211231915717,5597739.0
Other crops,Poultry & Eggs,0.007076509599953595,73198.0
Other crops,Other liv.st. produ.,0.2900687952638907,4958494.0
Other crops,Animal Services,0.5816043998692704,3416763.0
Other crops,"Hydrogenated
 oil(vanaspati)",0.02104376907332976,26969.0
Other crops,"Edible oils other than
 vanaspati",0.017093795740077355,121446.0
Other crops,"Miscellaneous food
 products",0.004830220899310116,203656.0
Other crops,Beverages,0.009264801893351724,62482.0
Other crops,Tobacco Products,0.0039382351549099,24130.0
Other crops,"Miscellaneous textile
 products",0.0012781539898288638,11294.0
Other crops,"Wood and wood products
 except furniture",0.001496970633098185,11029.0
Other crops,"Paper, Paper products and
 newsprint",0.002735728915704762,33265.0
Other crops,Inorganic heavy chemicals,0.004936524999344537,94142.0
Other crops,Organic heavy chemicals,0.0043524994526549406,135741.0
Other crops,Pesticides,0.006924811591863817,23169.0
Other crops,"Paints, varnishes and
 lacquers",0.009394843518970792,56855.0
Other crops,"Soaps, cosmetics &
 glycerin",0.00505065619613835,42698.0
Other crops,"Synthetic fibers, resin",0.004750614568956069,44604.0
Other crops,Other chemicals,0.03603420446501526,409076.0
Other crops,"Construction and
 construction services",0.007346616324823953,1978517.0
Other crops,Electricity,0.0016309532022859472,111485.0
Other crops,Water Supply,0.02585235268583377,284560.0
Other crops,Land transport,0.026253691137249995,2350724.0
Other crops,Trade,0.0014281710245698446,306696.0
Other crops,Hotels & Restaurant,0.011797016042864834,438150.0
Other crops,"Public administration and
 defence",0.0022102433825413807,217335.0
Milk and milk products,Wheat,0.001077575721861302,15726.0
Milk and milk products,Pulses,0.0017905379356850405,10961.0
Milk and milk products,Milk and milk products,0.005671684109726326,318055.0
Milk and milk products,Sugar,0.0014453879641637263,7793.0
Milk and milk products,"Khandsari, boora",0.004527945558470321,9552.0
Milk and milk products,"Hydrogenated
 oil(vanaspati)",0.0019382521553691693,2484.0
Milk and milk products,"Edible oils other than
 vanaspati",0.008438800154771156,59955.0
Milk and milk products,Tea and coffee processing,0.0038124752239270593,12541.0
Milk and milk products,"Miscellaneous food
 products",0.2117632870149391,8928549.0
Milk and milk products,"Grain Mill products, starch and starch products",0.030125977207554454,836458.0
Milk and milk products,Beverages,0.043273009758721025,291834.0
Milk and milk products,Inorganic heavy chemicals,0.0014682362811672478,28000.0
Milk and milk products,Organic heavy chemicals,0.004767801925089849,148693.0
Milk and milk products,"Soaps, cosmetics &
 glycerin",0.010662706703646614,90142.0
Milk and milk products,Other chemicals,0.02857263410249571,324369.0
Milk and milk products,Drugs and medicine,0.00309340203431875,71270.0
Milk and milk products,"Miscellaneous
 manufacturing",0.0015082469529646696,13741.0
Milk and milk products,Hotels & Restaurant,0.2622102010438777,9738683.0
Milk and milk products,"Public administration and
 defence",0.028782202524539616,2830177.0
Poultry & Eggs,Milk and milk products,0.0034346273117478072,192606.0
Poultry & Eggs,Fishing & Aquaculture,0.040829143277155144,627695.0
Poultry & Eggs,"Miscellaneous food
 products",0.0036805602084772444,155183.0
Poultry & Eggs,"Grain Mill products, starch and starch products",0.003525294485858988,97881.0
Poultry & Eggs,Hotels & Restaurant,0.0798084895866933,2964147.0
Poultry & Eggs,"Public administration and
 defence",0.021192047659532923,2083831.0
Other liv.st. produ.,Paddy,0.014760876777622096,336665.0
Other liv.st. produ.,Wheat,0.001846049060324643,26941.0
Other liv.st. produ.,Jowar,0.04090753664438098,62808.0
Other liv.st. produ.,Bajra,0.009387559099273888,14564.0
Other liv.st. produ.,Maize,0.03494586974457629,93988.0
Other liv.st. produ.,Pulses,0.009149042803020898,56007.0
Other liv.st. produ.,Sugarcane,0.003669264332199901,27475.0
Other liv.st. produ.,Groundnut,0.012932450805268881,39161.0
Other liv.st. produ.,Coconut,0.0453554218292808,92012.0
Other liv.st. produ.,Other oilseeds,0.014468486757501646,105523.0
Other liv.st. produ.,Jute,0.021857980980776397,14545.0
Other liv.st. produ.,Cotton,0.020718637580513653,129135.0
Other liv.st. produ.,Tea,0.02357020350631269,27307.0
Other liv.st. produ.,Coffee,0.06601673267558764,53523.0
Other liv.st. produ.,Rubber,0.011060445773902894,6064.0
Other liv.st. produ.,Fruits,0.002831521650542989,54893.0
Other liv.st. produ.,Vegetables,0.002487926591756702,62160.0
Other liv.st. produ.,Other crops,0.004087543171190112,149560.0
Other liv.st. produ.,Milk and milk products,0.0022546752095752858,126437.0
Other liv.st. produ.,"Edible oils other than
 vanaspati",0.0036466088634777936,25908.0
Other liv.st. produ.,"Miscellaneous food
 products",0.04228895681331029,1783024.0
Other liv.st. produ.,"Grain Mill products, starch and starch products",0.011170977917072148,310166.0
Other liv.st. produ.,Beverages,0.0031286981842726124,21100.0
Other liv.st. produ.,Woolen textiles,0.0378994016828791,118224.0
Other liv.st. produ.,Silk textiles,0.005314665784787731,29763.0
Other liv.st. produ.,Carpet weaving,0.0012785810006006803,1871.0
Other liv.st. produ.,"Miscellaneous textile
 products",0.005470689203854018,48340.0
Other liv.st. produ.,Leather footwear,0.1576702714604875,704607.0
Other liv.st. produ.,"Leather and leather
 products",0.18614871310312378,535658.0
Other liv.st. produ.,Rubber products,0.031783747256320626,375333.0
Other liv.st. produ.,Plastic products,0.012200586908873204,266513.0
Other liv.st. produ.,Inorganic heavy chemicals,0.04186607587635353,798407.0
Other liv.st. produ.,Organic heavy chemicals,0.019934165964769577,621685.0
Other liv.st. produ.,Fertilizers,0.09130627251167141,102717.0
Other liv.st. produ.,Pesticides,0.019436935018433587,65032.0
Other liv.st. produ.,"Paints, varnishes and
 lacquers",0.014003117128276173,84743.0
Other liv.st. produ.,"Soaps, cosmetics &
 glycerin",0.006054920356174291,51188.0
Other liv.st. produ.,"Synthetic fibers, resin",0.04363122731345632,409658.0
Other liv.st. produ.,Other chemicals,0.08901745845561253,1010565.0
Other liv.st. produ.,"Miscellaneous
 manufacturing",0.0039612200193247914,36089.0
Other liv.st. produ.,"Construction and
 construction services",0.0065817133310925695,1772521.0
Other liv.st. produ.,Water Supply,0.008151722130453355,89727.0
Other liv.st. produ.,Trade,0.006064171490046981,1302265.0
Other liv.st. produ.,Hotels & Restaurant,0.07159128836069753,2658954.0
