COUNTRY,COUNTERPART_COUNTRY,TRADE_FLOW,commodity_group,date,trade_value_usd
India,France,Trade balance goods,Other,2010-M02,""
India,France,Trade balance goods,Other,2010-M02,54.341867
India,Saudi Arabia,Imports of goods,Other,2010-M02,""
India,Germany,Exports of goods,Other,2010-M02,""
India,France,Imports of goods,Other,2010-M02,""
India,Italy,Imports of goods,Other,2010-M02,""
India,Germany,Trade balance goods,Other,2010-M02,""
India,Italy,Trade balance goods,Other,2010-M02,""
India,United States,Exports of goods,Other,2010-M02,""
India,Germany,Imports of goods,Other,2010-M02,""
India,Italy,Exports of goods,Other,2010-M02,""
India,France,Exports of goods,Other,2010-M02,""
India,Saudi Arabia,Exports of goods,Other,2010-M02,""
India,Qatar,Trade balance goods,Other,2010-M02,""
India,Saudi Arabia,Trade balance goods,Other,2010-M02,""
India,Qatar,Imports of goods,Other,2010-M02,""
India,Qatar,Exports of goods,Other,2010-M02,""
India,United States,Imports of goods,Other,2010-M02,""
India,Qatar,Trade balance goods,Other,2010-M03,""
India,Qatar,Exports of goods,Other,2010-M03,59.739403
India,Saudi Arabia,Exports of goods,Other,2010-M03,445.193458
India,Saudi Arabia,Trade balance goods,Other,2010-M03,""
India,Saudi Arabia,Trade balance goods,Other,2010-M03,-1440.836374
India,Qatar,Imports of goods,Other,2010-M03,364.117131
India,United States,Trade balance goods,Other,2010-M03,838.252756
India,Italy,Exports of goods,Other,2010-M03,""
India,France,Trade balance goods,Other,2010-M03,""
India,France,Exports of goods,Other,2010-M03,""
India,Italy,Exports of goods,Other,2010-M03,352.532844
India,Germany,Imports of goods,Other,2010-M03,908.045553
India,Saudi Arabia,Imports of goods,Other,2010-M03,1886.029832
India,Germany,Exports of goods,Other,2010-M03,563.547294
India,France,Imports of goods,Other,2010-M03,462.584989
India,Qatar,Imports of goods,Other,2010-M03,""
India,Saudi Arabia,Imports of goods,Other,2010-M03,""
India,France,Exports of goods,Other,2010-M03,495.192231
India,Italy,Imports of goods,Other,2010-M03,""
India,France,Imports of goods,Other,2010-M03,""
India,Italy,Trade balance goods,Other,2010-M03,-10.270022
India,Germany,Trade balance goods,Other,2010-M03,-344.498259
India,United States,Imports of goods,Other,2010-M03,""
India,United States,Imports of goods,Other,2010-M03,1365.85993
India,United States,Trade balance goods,Other,2010-M03,""
India,Germany,Exports of goods,Other,2010-M03,""
India,Germany,Imports of goods,Other,2010-M03,""
India,United States,Exports of goods,Other,2010-M03,""
India,Saudi Arabia,Exports of goods,Other,2010-M03,""
India,United States,Exports of goods,Other,2010-M03,2204.112686
India,Italy,Imports of goods,Other,2010-M03,362.802866
India,Qatar,Trade balance goods,Other,2010-M03,-304.377728
India,Qatar,Exports of goods,Other,2010-M03,""
India,Italy,Trade balance goods,Other,2010-M03,""
India,Germany,Trade balance goods,Other,2010-M03,""
India,United States,Trade balance goods,Other,2010-M03,""
India,France,Trade balance goods,Other,2010-M03,""
India,France,Trade balance goods,Other,2010-M03,32.607242
India,Saudi Arabia,Imports of goods,Other,2010-M03,""
India,Germany,Exports of goods,Other,2010-M03,""
India,France,Imports of goods,Other,2010-M03,""
India,Italy,Imports of goods,Other,2010-M03,""
India,Germany,Trade balance goods,Other,2010-M03,""
India,Italy,Trade balance goods,Other,2010-M03,""
India,United States,Exports of goods,Other,2010-M03,""
India,Germany,Imports of goods,Other,2010-M03,""
India,Italy,Exports of goods,Other,2010-M03,""
India,France,Exports of goods,Other,2010-M03,""
India,Saudi Arabia,Exports of goods,Other,2010-M03,""
India,Qatar,Trade balance goods,Other,2010-M03,""
India,Saudi Arabia,Trade balance goods,Other,2010-M03,""
India,Qatar,Imports of goods,Other,2010-M03,""
India,Qatar,Exports of goods,Other,2010-M03,""
India,United States,Imports of goods,Other,2010-M03,""
India,Qatar,Trade balance goods,Other,2010-M04,""
India,Qatar,Exports of goods,Other,2010-M04,27.19271
India,Saudi Arabia,Exports of goods,Other,2010-M04,438.828097
India,Saudi Arabia,Trade balance goods,Other,2010-M04,""
India,Saudi Arabia,Trade balance goods,Other,2010-M04,-1106.800148
India,Qatar,Imports of goods,Other,2010-M04,812.501177
India,United States,Trade balance goods,Other,2010-M04,244.819122
India,Italy,Exports of goods,Other,2010-M04,""
India,France,Trade balance goods,Other,2010-M04,""
India,France,Exports of goods,Other,2010-M04,""
India,Italy,Exports of goods,Other,2010-M04,328.762766
India,Germany,Imports of goods,Other,2010-M04,935.794174
India,Saudi Arabia,Imports of goods,Other,2010-M04,1545.628245
India,Germany,Exports of goods,Other,2010-M04,448.257385
India,France,Imports of goods,Other,2010-M04,344.358212
India,Qatar,Imports of goods,Other,2010-M04,""
India,Saudi Arabia,Imports of goods,Other,2010-M04,""
India,France,Exports of goods,Other,2010-M04,312.502342
India,Italy,Imports of goods,Other,2010-M04,""
India,France,Imports of goods,Other,2010-M04,""
India,Italy,Trade balance goods,Other,2010-M04,-8.576815
India,Germany,Trade balance goods,Other,2010-M04,-487.536789
India,United States,Imports of goods,Other,2010-M04,""
India,United States,Imports of goods,Other,2010-M04,1633.090919
India,United States,Trade balance goods,Other,2010-M04,""
India,Germany,Exports of goods,Other,2010-M04,""
India,Germany,Imports of goods,Other,2010-M04,""
India,United States,Exports of goods,Other,2010-M04,""
India,Saudi Arabia,Exports of goods,Other,2010-M04,""
India,United States,Exports of goods,Other,2010-M04,1877.910041
India,Italy,Imports of goods,Other,2010-M04,337.339581
India,Qatar,Trade balance goods,Other,2010-M04,-785.308467
India,Qatar,Exports of goods,Other,2010-M04,""
India,Italy,Trade balance goods,Other,2010-M04,""
India,Germany,Trade balance goods,Other,2010-M04,""
India,United States,Trade balance goods,Other,2010-M04,""
India,France,Trade balance goods,Other,2010-M04,""
India,France,Trade balance goods,Other,2010-M04,-31.85587
India,Saudi Arabia,Imports of goods,Other,2010-M04,""
India,Germany,Exports of goods,Other,2010-M04,""
India,France,Imports of goods,Other,2010-M04,""
India,Italy,Imports of goods,Other,2010-M04,""
India,Germany,Trade balance goods,Other,2010-M04,""
India,Italy,Trade balance goods,Other,2010-M04,""
India,United States,Exports of goods,Other,2010-M04,""
India,Germany,Imports of goods,Other,2010-M04,""
India,Italy,Exports of goods,Other,2010-M04,""
India,France,Exports of goods,Other,2010-M04,""
India,Saudi Arabia,Exports of goods,Other,2010-M04,""
India,Qatar,Trade balance goods,Other,2010-M04,""
India,Saudi Arabia,Trade balance goods,Other,2010-M04,""
India,Qatar,Imports of goods,Other,2010-M04,""
India,Qatar,Exports of goods,Other,2010-M04,""
India,United States,Imports of goods,Other,2010-M04,""
India,Qatar,Trade balance goods,Other,2010-M05,""
India,Qatar,Exports of goods,Other,2010-M05,33.382113
India,Saudi Arabia,Exports of goods,Other,2010-M05,354.997153
India,Saudi Arabia,Trade balance goods,Other,2010-M05,""
India,Saudi Arabia,Trade balance goods,Other,2010-M05,-1288.700378
India,Qatar,Imports of goods,Other,2010-M05,570.721381
India,United States,Trade balance goods,Other,2010-M05,142.085906
India,Italy,Exports of goods,Other,2010-M05,""
India,France,Trade balance goods,Other,2010-M05,""
India,France,Exports of goods,Other,2010-M05,""
India,Italy,Exports of goods,Other,2010-M05,272.715606
India,Germany,Imports of goods,Other,2010-M05,939.262401
India,Saudi Arabia,Imports of goods,Other,2010-M05,1643.697531
India,Germany,Exports of goods,Other,2010-M05,442.283012
India,France,Imports of goods,Other,2010-M05,320.326143
India,Qatar,Imports of goods,Other,2010-M05,""
India,Saudi Arabia,Imports of goods,Other,2010-M05,""
India,France,Exports of goods,Other,2010-M05,269.106618
India,Italy,Imports of goods,Other,2010-M05,""
India,France,Imports of goods,Other,2010-M05,""
India,Italy,Trade balance goods,Other,2010-M05,-48.094673
India,Germany,Trade balance goods,Other,2010-M05,-496.979389
India,United States,Imports of goods,Other,2010-M05,""
India,United States,Imports of goods,Other,2010-M05,2000.250302
India,United States,Trade balance goods,Other,2010-M05,""
India,Germany,Exports of goods,Other,2010-M05,""
India,Germany,Imports of goods,Other,2010-M05,""
India,United States,Exports of goods,Other,2010-M05,""
India,Saudi Arabia,Exports of goods,Other,2010-M05,""
India,United States,Exports of goods,Other,2010-M05,2142.336208
India,Italy,Imports of goods,Other,2010-M05,320.810279
India,Qatar,Trade balance goods,Other,2010-M05,-537.339268
India,Qatar,Exports of goods,Other,2010-M05,""
India,Italy,Trade balance goods,Other,2010-M05,""
India,Germany,Trade balance goods,Other,2010-M05,""
India,United States,Trade balance goods,Other,2010-M05,""
India,France,Trade balance goods,Other,2010-M05,""
India,France,Trade balance goods,Other,2010-M05,-51.219525
India,Saudi Arabia,Imports of goods,Other,2010-M05,""
India,Germany,Exports of goods,Other,2010-M05,""
India,France,Imports of goods,Other,2010-M05,""
India,Italy,Imports of goods,Other,2010-M05,""
India,Germany,Trade balance goods,Other,2010-M05,""
India,Italy,Trade balance goods,Other,2010-M05,""
India,United States,Exports of goods,Other,2010-M05,""
India,Germany,Imports of goods,Other,2010-M05,""
India,Italy,Exports of goods,Other,2010-M05,""
India,France,Exports of goods,Other,2010-M05,""
India,Saudi Arabia,Exports of goods,Other,2010-M05,""
India,Qatar,Trade balance goods,Other,2010-M05,""
India,Saudi Arabia,Trade balance goods,Other,2010-M05,""
India,Qatar,Imports of goods,Other,2010-M05,""
India,Qatar,Exports of goods,Other,2010-M05,""
India,United States,Imports of goods,Other,2010-M05,""
India,Qatar,Trade balance goods,Other,2010-M06,""
India,Qatar,Exports of goods,Other,2010-M06,27.795851
India,Saudi Arabia,Exports of goods,Other,2010-M06,433.430303
India,Saudi Arabia,Trade balance goods,Other,2010-M06,""
India,Saudi Arabia,Trade balance goods,Other,2010-M06,-1272.752154
India,Qatar,Imports of goods,Other,2010-M06,335.878429
India,United States,Trade balance goods,Other,2010-M06,374.517195
India,Italy,Exports of goods,Other,2010-M06,""
India,France,Trade balance goods,Other,2010-M06,""
India,France,Exports of goods,Other,2010-M06,""
India,Italy,Exports of goods,Other,2010-M06,288.374348
India,Germany,Imports of goods,Other,2010-M06,970.478893
India,Saudi Arabia,Imports of goods,Other,2010-M06,1706.182457
India,Germany,Exports of goods,Other,2010-M06,451.754706
India,France,Imports of goods,Other,2010-M06,367.201763
India,Qatar,Imports of goods,Other,2010-M06,""
India,Saudi Arabia,Imports of goods,Other,2010-M06,""
India,France,Exports of goods,Other,2010-M06,401.160777
India,Italy,Imports of goods,Other,2010-M06,""
India,France,Imports of goods,Other,2010-M06,""
India,Italy,Trade balance goods,Other,2010-M06,-95.208194
India,Germany,Trade balance goods,Other,2010-M06,-518.724187
India,United States,Imports of goods,Other,2010-M06,""
India,United States,Imports of goods,Other,2010-M06,1738.019871
India,United States,Trade balance goods,Other,2010-M06,""
India,Germany,Exports of goods,Other,2010-M06,""
India,Germany,Imports of goods,Other,2010-M06,""
India,United States,Exports of goods,Other,2010-M06,""
India,Saudi Arabia,Exports of goods,Other,2010-M06,""
India,United States,Exports of goods,Other,2010-M06,2112.537066
India,Italy,Imports of goods,Other,2010-M06,383.582542
India,Qatar,Trade balance goods,Other,2010-M06,-308.082578
India,Qatar,Exports of goods,Other,2010-M06,""
India,Italy,Trade balance goods,Other,2010-M06,""
India,Germany,Trade balance goods,Other,2010-M06,""
India,United States,Trade balance goods,Other,2010-M06,""
India,France,Trade balance goods,Other,2010-M06,""
India,France,Trade balance goods,Other,2010-M06,33.959014
India,Saudi Arabia,Imports of goods,Other,2010-M06,""
India,Germany,Exports of goods,Other,2010-M06,""
India,France,Imports of goods,Other,2010-M06,""
India,Italy,Imports of goods,Other,2010-M06,""
India,Germany,Trade balance goods,Other,2010-M06,""
India,Italy,Trade balance goods,Other,2010-M06,""
India,United States,Exports of goods,Other,2010-M06,""
India,Germany,Imports of goods,Other,2010-M06,""
India,Italy,Exports of goods,Other,2010-M06,""
India,France,Exports of goods,Other,2010-M06,""
India,Saudi Arabia,Exports of goods,Other,2010-M06,""
India,Qatar,Trade balance goods,Other,2010-M06,""
India,Saudi Arabia,Trade balance goods,Other,2010-M06,""
India,Qatar,Imports of goods,Other,2010-M06,""
India,Qatar,Exports of goods,Other,2010-M06,""
India,United States,Imports of goods,Other,2010-M06,""
India,Qatar,Trade balance goods,Other,2010-M07,""
India,Qatar,Exports of goods,Other,2010-M07,25.809924
India,Saudi Arabia,Exports of goods,Other,2010-M07,303.746693
India,Saudi Arabia,Trade balance goods,Other,2010-M07,""
India,Saudi Arabia,Trade balance goods,Other,2010-M07,-1334.280756
India,Qatar,Imports of goods,Other,2010-M07,607.396774
India,United States,Trade balance goods,Other,2010-M07,55.0857
India,Italy,Exports of goods,Other,2010-M07,""
India,France,Trade balance goods,Other,2010-M07,""
India,France,Exports of goods,Other,2010-M07,""
India,Italy,Exports of goods,Other,2010-M07,293.198323
India,Germany,Imports of goods,Other,2010-M07,1022.979834
India,Saudi Arabia,Imports of goods,Other,2010-M07,1638.027449
India,Germany,Exports of goods,Other,2010-M07,456.862298
India,France,Imports of goods,Other,2010-M07,255.86595
India,Qatar,Imports of goods,Other,2010-M07,""
India,Saudi Arabia,Imports of goods,Other,2010-M07,""
India,France,Exports of goods,Other,2010-M07,350.770928
India,Italy,Imports of goods,Other,2010-M07,""
India,France,Imports of goods,Other,2010-M07,""
India,Italy,Trade balance goods,Other,2010-M07,-73.15734
India,Germany,Trade balance goods,Other,2010-M07,-566.117536
India,United States,Imports of goods,Other,2010-M07,""
India,United States,Imports of goods,Other,2010-M07,1881.633946
India,United States,Trade balance goods,Other,2010-M07,""
India,Germany,Exports of goods,Other,2010-M07,""
India,Germany,Imports of goods,Other,2010-M07,""
India,United States,Exports of goods,Other,2010-M07,""
India,Saudi Arabia,Exports of goods,Other,2010-M07,""
India,United States,Exports of goods,Other,2010-M07,1936.719646
India,Italy,Imports of goods,Other,2010-M07,366.355663
India,Qatar,Trade balance goods,Other,2010-M07,-581.58685
India,Qatar,Exports of goods,Other,2010-M07,""
India,Italy,Trade balance goods,Other,2010-M07,""
India,Germany,Trade balance goods,Other,2010-M07,""
India,United States,Trade balance goods,Other,2010-M07,""
India,France,Trade balance goods,Other,2010-M07,""
India,France,Trade balance goods,Other,2010-M07,94.904978
India,Saudi Arabia,Imports of goods,Other,2010-M07,""
India,Germany,Exports of goods,Other,2010-M07,""
India,France,Imports of goods,Other,2010-M07,""
India,Italy,Imports of goods,Other,2010-M07,""
India,Germany,Trade balance goods,Other,2010-M07,""
India,Italy,Trade balance goods,Other,2010-M07,""
India,United States,Exports of goods,Other,2010-M07,""
India,Germany,Imports of goods,Other,2010-M07,""
India,Italy,Exports of goods,Other,2010-M07,""
India,France,Exports of goods,Other,2010-M07,""
India,Saudi Arabia,Exports of goods,Other,2010-M07,""
India,Qatar,Trade balance goods,Other,2010-M07,""
India,Saudi Arabia,Trade balance goods,Other,2010-M07,""
India,Qatar,Imports of goods,Other,2010-M07,""
India,Qatar,Exports of goods,Other,2010-M07,""
India,United States,Imports of goods,Other,2010-M07,""
India,Qatar,Trade balance goods,Other,2010-M08,""
India,Qatar,Exports of goods,Other,2010-M08,23.967343
India,Saudi Arabia,Exports of goods,Other,2010-M08,285.019321
India,Saudi Arabia,Trade balance goods,Other,2010-M08,""
India,Saudi Arabia,Trade balance goods,Other,2010-M08,-1370.549756
India,Qatar,Imports of goods,Other,2010-M08,592.861852
India,United States,Trade balance goods,Other,2010-M08,470.290641
India,Italy,Exports of goods,Other,2010-M08,""
India,France,Trade balance goods,Other,2010-M08,""
India,France,Exports of goods,Other,2010-M08,""
India,Italy,Exports of goods,Other,2010-M08,325.328987
India,Germany,Imports of goods,Other,2010-M08,782.113231
India,Saudi Arabia,Imports of goods,Other,2010-M08,1655.569077
India,Germany,Exports of goods,Other,2010-M08,478.804858
India,France,Imports of goods,Other,2010-M08,288.233491
India,Qatar,Imports of goods,Other,2010-M08,""
India,Saudi Arabia,Imports of goods,Other,2010-M08,""
India,France,Exports of goods,Other,2010-M08,395.417424
India,Italy,Imports of goods,Other,2010-M08,""
India,France,Imports of goods,Other,2010-M08,""
India,Italy,Trade balance goods,Other,2010-M08,-28.26778
India,Germany,Trade balance goods,Other,2010-M08,-303.308373
India,United States,Imports of goods,Other,2010-M08,""
India,United States,Imports of goods,Other,2010-M08,1442.624687
India,United States,Trade balance goods,Other,2010-M08,""
India,Germany,Exports of goods,Other,2010-M08,""
India,Germany,Imports of goods,Other,2010-M08,""
India,United States,Exports of goods,Other,2010-M08,""
India,Saudi Arabia,Exports of goods,Other,2010-M08,""
India,United States,Exports of goods,Other,2010-M08,1912.915328
India,Italy,Imports of goods,Other,2010-M08,353.596767
India,Qatar,Trade balance goods,Other,2010-M08,-568.894509
India,Qatar,Exports of goods,Other,2010-M08,""
India,Italy,Trade balance goods,Other,2010-M08,""
India,Germany,Trade balance goods,Other,2010-M08,""
India,United States,Trade balance goods,Other,2010-M08,""
India,France,Trade balance goods,Other,2010-M08,""
India,France,Trade balance goods,Other,2010-M08,107.183933
India,Saudi Arabia,Imports of goods,Other,2010-M08,""
India,Germany,Exports of goods,Other,2010-M08,""
India,France,Imports of goods,Other,2010-M08,""
India,Italy,Imports of goods,Other,2010-M08,""
India,Germany,Trade balance goods,Other,2010-M08,""
India,Italy,Trade balance goods,Other,2010-M08,""
India,United States,Exports of goods,Other,2010-M08,""
India,Germany,Imports of goods,Other,2010-M08,""
India,Italy,Exports of goods,Other,2010-M08,""
India,France,Exports of goods,Other,2010-M08,""
India,Saudi Arabia,Exports of goods,Other,2010-M08,""
India,Qatar,Trade balance goods,Other,2010-M08,""
India,Saudi Arabia,Trade balance goods,Other,2010-M08,""
India,Qatar,Imports of goods,Other,2010-M08,""
India,Qatar,Exports of goods,Other,2010-M08,""
India,United States,Imports of goods,Other,2010-M08,""
India,Qatar,Trade balance goods,Other,2010-M09,""
India,Qatar,Exports of goods,Other,2010-M09,32.738224
India,Saudi Arabia,Exports of goods,Other,2010-M09,410.208556
India,Saudi Arabia,Trade balance goods,Other,2010-M09,""
India,Saudi Arabia,Trade balance goods,Other,2010-M09,-1227.733776
India,Qatar,Imports of goods,Other,2010-M09,485.736881
India,United States,Trade balance goods,Other,2010-M09,386.241509
India,Italy,Exports of goods,Other,2010-M09,""
India,France,Trade balance goods,Other,2010-M09,""
India,France,Exports of goods,Other,2010-M09,""
India,Italy,Exports of goods,Other,2010-M09,316.028598
India,Germany,Imports of goods,Other,2010-M09,963.259195
India,Saudi Arabia,Imports of goods,Other,2010-M09,1637.942332
India,Germany,Exports of goods,Other,2010-M09,490.631282
India,France,Imports of goods,Other,2010-M09,280.84943
India,Qatar,Imports of goods,Other,2010-M09,""
India,Saudi Arabia,Imports of goods,Other,2010-M09,""
India,France,Exports of goods,Other,2010-M09,394.541904
India,Italy,Imports of goods,Other,2010-M09,""
India,France,Imports of goods,Other,2010-M09,""
India,Italy,Trade balance goods,Other,2010-M09,-15.406157
India,Germany,Trade balance goods,Other,2010-M09,-472.627913
India,United States,Imports of goods,Other,2010-M09,""
India,United States,Imports of goods,Other,2010-M09,1554.533016
India,United States,Trade balance goods,Other,2010-M09,""
India,Germany,Exports of goods,Other,2010-M09,""
India,Germany,Imports of goods,Other,2010-M09,""
India,United States,Exports of goods,Other,2010-M09,""
India,Saudi Arabia,Exports of goods,Other,2010-M09,""
India,United States,Exports of goods,Other,2010-M09,1940.774525
India,Italy,Imports of goods,Other,2010-M09,331.434755
India,Qatar,Trade balance goods,Other,2010-M09,-452.998657
India,Qatar,Exports of goods,Other,2010-M09,""
India,Italy,Trade balance goods,Other,2010-M09,""
India,Germany,Trade balance goods,Other,2010-M09,""
India,United States,Trade balance goods,Other,2010-M09,""
India,France,Trade balance goods,Other,2010-M09,""
India,France,Trade balance goods,Other,2010-M09,113.692474
India,Saudi Arabia,Imports of goods,Other,2010-M09,""
India,Germany,Exports of goods,Other,2010-M09,""
India,France,Imports of goods,Other,2010-M09,""
India,Italy,Imports of goods,Other,2010-M09,""
India,Germany,Trade balance goods,Other,2010-M09,""
India,Italy,Trade balance goods,Other,2010-M09,""
India,United States,Exports of goods,Other,2010-M09,""
India,Germany,Imports of goods,Other,2010-M09,""
India,Italy,Exports of goods,Other,2010-M09,""
India,France,Exports of goods,Other,2010-M09,""
India,Saudi Arabia,Exports of goods,Other,2010-M09,""
India,Qatar,Trade balance goods,Other,2010-M09,""
India,Saudi Arabia,Trade balance goods,Other,2010-M09,""
India,Qatar,Imports of goods,Other,2010-M09,""
India,Qatar,Exports of goods,Other,2010-M09,""
India,United States,Imports of goods,Other,2010-M09,""
India,Qatar,Trade balance goods,Other,2010-M10,""
India,Qatar,Exports of goods,Other,2010-M10,24.502215
India,Saudi Arabia,Exports of goods,Other,2010-M10,638.514472
India,Saudi Arabia,Trade balance goods,Other,2010-M10,""
India,Saudi Arabia,Trade balance goods,Other,2010-M10,-1110.684134
India,Qatar,Imports of goods,Other,2010-M10,481.09193
India,United States,Trade balance goods,Other,2010-M10,-142.536145
India,Italy,Exports of goods,Other,2010-M10,""
India,France,Trade balance goods,Other,2010-M10,""
India,France,Exports of goods,Other,2010-M10,""
India,Italy,Exports of goods,Other,2010-M10,413.681766
India,Germany,Imports of goods,Other,2010-M10,1182.794841
India,Saudi Arabia,Imports of goods,Other,2010-M10,1749.198606
India,Germany,Exports of goods,Other,2010-M10,514.538944
India,France,Imports of goods,Other,2010-M10,303.976719
India,Qatar,Imports of goods,Other,2010-M10,""
India,Saudi Arabia,Imports of goods,Other,2010-M10,""
India,France,Exports of goods,Other,2010-M10,560.417756
India,Italy,Imports of goods,Other,2010-M10,""
India,France,Imports of goods,Other,2010-M10,""
India,Italy,Trade balance goods,Other,2010-M10,83.46209
India,Germany,Trade balance goods,Other,2010-M10,-668.255897
India,United States,Imports of goods,Other,2010-M10,""
India,United States,Imports of goods,Other,2010-M10,2004.9471
India,United States,Trade balance goods,Other,2010-M10,""
India,Germany,Exports of goods,Other,2010-M10,""
India,Germany,Imports of goods,Other,2010-M10,""
India,United States,Exports of goods,Other,2010-M10,""
India,Saudi Arabia,Exports of goods,Other,2010-M10,""
India,United States,Exports of goods,Other,2010-M10,1862.410955
India,Italy,Imports of goods,Other,2010-M10,330.219676
India,Qatar,Trade balance goods,Other,2010-M10,-456.589715
India,Qatar,Exports of goods,Other,2010-M10,""
India,Italy,Trade balance goods,Other,2010-M10,""
India,Germany,Trade balance goods,Other,2010-M10,""
India,United States,Trade balance goods,Other,2010-M10,""
India,France,Trade balance goods,Other,2010-M10,""
India,France,Trade balance goods,Other,2010-M10,256.441037
India,Saudi Arabia,Imports of goods,Other,2010-M10,""
India,Germany,Exports of goods,Other,2010-M10,""
India,France,Imports of goods,Other,2010-M10,""
India,Italy,Imports of goods,Other,2010-M10,""
India,Germany,Trade balance goods,Other,2010-M10,""
India,Italy,Trade balance goods,Other,2010-M10,""
India,United States,Exports of goods,Other,2010-M10,""
India,Germany,Imports of goods,Other,2010-M10,""
India,Italy,Exports of goods,Other,2010-M10,""
India,France,Exports of goods,Other,2010-M10,""
India,Saudi Arabia,Exports of goods,Other,2010-M10,""
