date,gdp_constant,gdp_current,gdp_growth_yoy
2021-06-01,3350730.12579257,5178170.06594859,6.496249119692288
2021-07-01,3350730.12579257,5178170.06594859,6.496249119692288
2021-08-01,3350730.12579257,5178170.06594859,6.496249119692288
2021-09-01,3350730.12579257,5178170.06594859,6.496249119692288
2021-10-01,3350730.12579257,5178170.06594859,6.496249119692288
2021-11-01,3350730.12579257,5178170.06594859,6.496249119692288
2021-12-01,3350730.12579257,5178170.06594859,6.496249119692288
2022-01-01,3350730.12579257,5178170.06594859,6.496249119692288
2022-02-01,3350730.12579257,5178170.06594859,6.496249119692288
2022-03-01,3350730.12579257,5178170.06594859,6.496249119692288
2022-04-01,3802769.07124162,6499862.58539752,12.431426611297036
2022-05-01,3802769.07124162,6499862.58539752,12.431426611297036
2022-06-01,3802769.07124162,6499862.58539752,12.431426611297036
2022-07-01,3802769.07124162,6499862.58539752,12.431426611297036
2022-08-01,3802769.07124162,6499862.58539752,12.431426611297036
2022-09-01,3802769.07124162,6499862.58539752,12.431426611297036
2022-10-01,3802769.07124162,6499862.58539752,12.431426611297036
2022-11-01,3802769.07124162,6499862.58539752,12.431426611297036
2022-12-01,3802769.07124162,6499862.58539752,12.431426611297036
2023-01-01,3802769.07124162,6499862.58539752,12.431426611297036
2023-02-01,3802769.07124162,6499862.58539752,12.431426611297036
2023-03-01,3802769.07124162,6499862.58539752,12.431426611297036
2023-04-01,4170114.44353516,7211627.74079519,17.314627436639118
2023-05-01,4170114.44353516,7211627.74079519,17.314627436639118
2023-06-01,4170114.44353516,7211627.74079519,17.314627436639118
2023-07-01,4170114.44353516,7211627.74079519,17.314627436639118
2023-08-01,4170114.44353516,7211627.74079519,17.314627436639118
2023-09-01,4170114.44353516,7211627.74079519,17.314627436639118
2023-10-01,4170114.44353516,7211627.74079519,17.314627436639118
2023-11-01,4170114.44353516,7211627.74079519,17.314627436639118
2023-12-01,4170114.44353516,7211627.74079519,17.314627436639118
2024-01-01,4170114.44353516,7211627.74079519,17.314627436639118
2024-02-01,4170114.44353516,7211627.74079519,17.314627436639118
2024-03-01,4170114.44353516,7211627.74079519,17.314627436639118
2024-04-01,4441663.94615502,7907894.21149869,62.560989948613766
