Input Output Table 2015-16 (₹ lakhs),,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,,,,
32,Bauxite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,340,57,0,75,0,0,34,33,0,0,404,140,2,24,139,201,14,72,0,12323,1254,4673,406,4921,26493,117126,100,97947,82,26,1857,4191,13202,16,2,419,137,278,557,0,0,0,408,60,1,890,0,0,9088,42374,15071,233,620,0,0,0,0,0,0,0,0,27375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383669,0,0,0
33,Copper ore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4296,4218,0,0,0,47,0,0,408,0,3,0,0,11,0,7210,2881,39273,224851,1012644,803,835854,0,0,0,21881,74075,49,16,3550,1160,1939,4286,0,0,0,0,470,0,7680,0,0,520,365749,48536,171,4428,0,0,0,0,0,0,0,0,130594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2797602,0,0,0
34,Other Metallic minerals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,2,0,1500,586,94,7895,0,0,1053,1241,0,0,901,791,18,207,904,338,254,2331,0,2409,26,5054,51287,62607,174820,467276,1487,410274,7625,2444,15694,23732,96887,212,19,2029,545,54814,156962,2,271,10,259,10963,78,2664,0,7,6006,160501,46681,383,4776,0,0,0,0,0,11,0,0,168531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1955464,0,0,0
35,Lime stone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,9,67,6,1,1413,1563,6,97,182,173,12,89,35,95797,1301601,51447,149,123,420,58,3,791,4,0,17,13,83,1,0,1,0,1,0,0,15,0,2,0,0,0,0,0,29,0,18,340,2,0,0,0,0,0,0,0,0,8569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024616,0,0,0
36,Mica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0
37,"Other non metallic
 minerals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283461,217728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,96,15,2,19,4,303,119,765,27,15,25,1297,649,187,34,10585,8195,1109,790,1025,2541,676,2420,219,503593,480549,879489,43,207,626,7894,834,11602,294,74,310,678,1788,140,19,45,13,126,138,1,113,2,96,390,43,6,11,1,1125,150096,1745,6443544,12,0,0,0,0,0,0,0,0,137465,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9155433,0,0,0
38,Sugar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10017,3729,316,3107,3908,359286,234006,14443,188,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,25,672,1,0,15493,36570,13,1588,2276,2704,1125,14515,4548,0,0,0,0,0,0,1,0,4,0,0,4,2,13,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,39,13,237,34,1159,0,0,0,0,0,0,0,0,40341,36304,0,0,0,0,0,0,0,0,0,0,0,0,31055,817744,4169617,0,0
39,"Khandsari, boora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10838,3286,58,1423,299,220190,0,25542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,0,0,451,28848,1,52,31,980,1,2810,2184,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,22,0,166,21,330,0,0,0,0,0,0,0,0,35627,31903,0,0,0,0,0,0,0,0,0,0,0,0,31055,396191,1788051,0,0
40,"Hydrogenated
 oil(vanaspati)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,329,61657,98478,108,86524,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,373,1268,3,345,91,10600,7,781,102,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,9,1043,0,0,0,0,0,0,0,0,19580,54886,0,0,0,0,0,0,0,0,0,0,0,0,13753,350334,845013,0,0
41,"Edible oils other than
 vanaspati",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691031,0,502785,425582,0,0,0,0,0,0,0,0,0,0,0,0,0,356,437,199118,569138,575,441805,0,219,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,2,75,1935,1,0,26551,35527,44,2239,10686,4164,1380,6806,2490,0,0,0,0,0,0,0,0,0,0,0,5,20,21,1,0,0,0,6,10,0,0,0,0,14,0,0,0,0,91,3,803,72,5460,0,0,0,0,0,0,0,0,98701,57012,0,0,0,0,0,0,0,0,0,0,0,0,13753,3098925,10350021,0,0
42,Tea and coffee processing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,2,40,32930,7590,0,86,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,120,0,1,9,30,1,47,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,9,0,0,0,0,0,0,0,0,6312,32634,0,0,0,0,0,0,0,0,0,0,0,0,1448766,1528731,1217207,0,0
43,"Miscellaneous food
 products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131475,437157,119903,24540,0,6787,0,0,0,0,0,0,0,0,0,0,0,1825,2258,47775,66287,45554,1514484,234006,60100,28678,3,265,12,0,53,3,0,40,0,0,86,0,0,317,246,3731,30628,23,1,142635,248168,867,23348,31638,75973,20938,104316,20401,3,0,1,1,1,2,2,26,33,112,206,89,369,515,20,1,4,1,71,46,0,0,0,8,588,3,1,0,0,519,42,2049,340,18202,14,0,0,0,0,0,0,0,272839,306796,0,0,0,0,0,10444,0,0,0,0,0,0,872464,4910332,32572101,0,0
44,"Grain Mill products, starch and starch products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87470,87470,87470,0,0,2738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,888161,102298,67671,0,0,0,0,0,0,0,0,194,0,0,20,0,0,21,90,11104,12214,26,0,56891,81818,2864,42771,36107,35548,35190,41327,24887,0,0,1,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,2310,226,6068,3,0,0,0,0,0,0,0,122663,19140,0,0,0,0,0,0,0,0,0,0,0,0,560994,2415819,23768979,0,0
45,Beverages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1568,1130,44,202,44,40550,5261,155469,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,28,693,0,0,13832,24402,29,1658,2247,2419,2344,1872,1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,62,12,382,0,0,0,0,0,0,0,0,15244,46384,0,0,0,0,0,0,0,0,0,0,0,0,210177,527170,6280322,0,0
46,Tobacco Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,10,0,0,0,0,0,0,0,0,5971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279629,5464819,0,0
47,"Khadi, cotton
 textiles(handlooms)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1774,0,0,0,0,0,0,0,0,0,19,0,5,0,0,0,0,0,9,0,0,0,45485,192556,6983,57049,33187,2346,8865,160806,402074,1379,186,123,1723,1071,4306,20504,5833,47,3,4982,17692,0,85,666,494,12006,1775,1585,4,1,150,15,30,108,58,14,177,10,19,20,186,219,23,8,6,2,42,64,1,19,17,24,3336,8,0,2,0,396,55,1646,1,54,0,0,0,0,0,0,0,0,78417,0,0,0,0,0,0,0,0,0,0,9,0,1,0,1070756,473905,0,0
48,Cotton textiles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2438,120,0,0,0,0,0,0,0,0,0,74,0,20,0,0,69,125,0,44,0,2,0,44828,800483,36367,167134,154461,7474,23766,406484,1532733,4857,501,363,2304,4449,17512,58086,18389,149,12,13813,46580,1,629,2345,1564,52140,6348,5364,17,2,582,59,123,443,309,66,787,36,72,82,769,844,94,27,24,8,180,274,6,80,72,62,13736,35,5,7,1,1595,166,6635,3,157,0,0,0,0,0,0,0,0,215991,0,0,0,0,0,0,137,0,229,1095,19,18154,244,0,3675249,12034111,0,0
49,Woolen textiles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,0,0,0,0,0,0,0,0,0,41,0,5,0,0,0,0,0,0,0,0,0,86,21636,456087,25955,79493,38289,79875,72024,201068,1079,34,10,322,295,1171,6431,3166,14,2,4222,6511,0,4,235,131,18960,464,33,14,53,305,1,9,53,19,6,176,2,2,13,138,178,413,17,9,3,40,64,1,18,90,18,1043,0,0,1,93,165,712,1140,0,73,0,0,1,0,0,0,0,0,33887,0,0,0,0,0,0,0,0,0,0,179,0,1,0,1057072,1276983,0,0
50,Silk textiles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27961,2803,329497,64329,3025,2611,23084,122749,67,39,273,447,335,1398,3475,843,5,1,830,1592,0,7,29,0,14044,481,61,7,0,4,0,0,4,1,0,29,0,0,18,1,20,1,0,1,0,5,15,0,3,2,0,1,0,0,0,0,654,19,111,0,20,0,0,0,0,0,0,0,0,6739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607641,4913809,0,0
51,"Art silk, synthetic fiber
 textiles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,87,0,0,0,0,0,96,0,0,5127,25465,943264,85895,336161,1084188,23165,61348,590619,950001,3563,1732,446,2682,8593,14895,35543,42961,321,35,59468,51146,267,6171,5215,2611,299946,28100,1290,77,9,2355,15,741,3668,5602,2445,5783,465,1055,1952,3611,7352,1612,4646,485,140,1558,1204,26,474,402,450,58796,1751,24,242,7,12045,708,19570,4,1035,0,0,0,0,0,0,0,0,272199,0,0,300,0,0,0,0,0,0,0,43,0,12,0,5083560,9452307,0,0
52,"Jute, hemp, mesta textiles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3667,4158,0,0,0,0,0,0,0,0,456,0,10,174,62,73,940,337,5210,0,308,7623,173,22246,12165,8355,15604,17028,14480,24630,42583,11807,3801,599,16926,1988,1694,14533,17518,1309,55,55217,65612,476,12462,19124,64093,17528,67308,10988,705,658,3439,264,1351,3508,1311,2382,2681,270,160,403,1144,2583,577,203,114,30,624,280,39,289,67,699,5055,3034,1462,343,8,1295,175,3559,5405,59,0,0,0,0,0,5,28786,0,504941,0,0,0,0,0,0,0,0,0,0,456,0,4,0,1141686,144778,0,0
53,Carpet weaving,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2783,3464,343,393,9,50,529,676,305,13,134,578,779,739,398,362,0,0,44,32,0,3,31,0,223,44,0,0,0,3,0,7,122,5,26,230,8,1,0,22,156,12,0,0,0,4,1,0,0,0,1,510,226,0,532,0,1,0,49,0,3,0,0,0,0,0,0,0,0,1288,0,0,0,0,0,0,0,35,0,0,1,0,0,0,15177,316433,0,360718
54,"Miscellaneous textile
 products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6465,0,3784,2,1,0,13,27,1131,1886,1,0,27,521818,60450,14717,71718,2134,13172,100679,288748,1959,311,1458,12480,5144,5538,12627,115379,52,11,17718,35571,0,878,10640,233,23638,15136,3139,290,3060,3197,13,160,2086,875,325,3809,169,118,487,782,6647,308,796,103,28,318,697,0,163,23,190,2536,280,7,18,81,6935,122,1801,1491,9406,0,0,0,0,0,1,12161,71,91204,35,11197,681,0,85,27078,0,24,0,0,213,1123,120,0,1540002,5059403,0,0
55,Ready made garments,995,503,61,26,81,70,86,107,35,0,222,0,130,0,0,0,21,232,250,405,0,0,0,0,46059,0,6676,2067,2089,12970,6211,569,390,524,10441,0,6111,0,0,0,0,0,0,0,0,0,14,279029,32324,7870,38350,1141,7043,53836,470266,951,337,140,78,16394,17648,1071,9782,60904,12942,13181,26462,0,653,7915,174,17585,11260,162,7,75,78,0,6,77,274,264,3103,1142,794,3291,5285,44902,632,1631,211,58,476,1045,1,1,162,1311,17534,1939,50,127,558,5200,91,1350,110610,187129,1095,145264,375613,32954,238960,55147,4562,47858,138421,1080,807,2356,0,23771,6957,19895,12833,20653,31242,2937,83337,8497,41995,2870493,6835914,0,0
56,"Wood and wood products
 except furniture",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310010,0,0,0,37540,6004,542382,6916,2317,0,443,20,0,220,0,0,0,194,97,988,1368,463,4747,961,1141,22765,602,11980,822,2259,7928,564,562,5816,1355,1151789,347706,4299,705438,17,20,19734,55164,22166,606,6250,9558,186,3209,4862,26038,5485,7739,751,2462,4246,4393,3173,8337,26407,4882,15847,63205,3081,2333,7107,7181,30186,3201,705,492,122,9739,4928,830,385,1996,9607,162636,15170,9209,3089,129,26376,15996,86429,711505,1072,0,0,0,0,0,0,0,0,1225530,4,0,0,0,0,0,252932,0,0,0,0,0,60,0,6066464,1826826,0,0
57,"Paper, Paper products and
 newsprint",676,1042,30,12,65,34,658,47,52,0,982,0,63,0,0,0,11,102,110,179,0,0,0,0,36047,0,6307,178,28,1643,710,525,61,239,23979,1,62714,131,50,189,515,225,4566,1546,13552,42907,324,9035,720,1710,15627,1276,597,5614,5140,85467,3532550,510739,40597,1838,2416,26168,299032,320699,6312,36710,55298,21,4555,5957,3299,11235,67153,12724,5377,11590,10766,1734,10306,28055,7147,4861,21533,2642,1888,3623,7117,35332,28920,6334,4813,977,9692,4981,647,13313,278,606,27841,4259,3379,1911,18,58520,7669,227436,77388,834360,9992,144639,1234832,26367,168695,97676,15022,634890,407747,294,506211,41999,0,1343014,12439,489975,83478,193526,247605,10952,547511,36600,12192,12993951,1078801,0,0
58,"Publishing, printing and
 allied activities",1912,937,118,52,155,137,142,206,68,0,428,0,251,0,0,0,46,449,481,782,0,0,0,0,37901,0,1030,67,47,177,348,32,105,34,6775,0,7252,2,0,0,19,0,251,44,7942,206,0,107,3,906,287,149,155,2524,15335,507,24779,8406,1541,116,86,57,4414,190473,189,3384,6329,5,1011,425,13833,2036,10305,33,21,3,1075,133,2847,20461,4184,9,3217,181,305,778,873,25274,499,23,90,29,274,282,7,56,43,79,3951,2,79,5,2,378,13,4481,1041,85536,3529,46405,35605,8798,54037,61209,7001,30879,40157,95,152012,9651,0,32531,4008,3160,24799,47301,10078,4707,32293,13736,9234,1143240,2489167,0,0
59,Furniture & Fixtures,1229,609,75,33,99,87,96,132,44,0,275,0,161,0,0,0,27,288,309,501,0,0,0,0,14344,0,1090,81,208,9745,4604,422,315,364,377,0,15401,0,0,0,0,0,0,0,0,0,0,132,4,13,1740,24,0,320,0,34903,19,27,117191,0.24705466,1,2106,15531,4929,23,157,197,0,31,31,29,638,665,8,9,1,301,604,849,5026,453,6349,16199,10204,634,1781,7535,11025,7133,229,679,201,2858,2771,6,3347,1665,736,92243,7527,21749,1399,151,4212,75,17425,906046,12964,1465,7104,7365,9860,7257,16833,6749,24934,52064,74,16739,4972,0,35282,2766,2149,10159,30652,70604,4362,15676,4489,65918,1771495,4647002,0,1889861
60,Leather footwear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,3,1,7,0,4,961,400,390,605,0,0,3591,2840,2,339,578,257,25,262,16,0,0,1,0,0,1,1,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,15,1,109,0,33,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,34880,90398,3532356,0,0
61,"Leather and leather
 products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7728,2565,14700,3671,640,3243,55547,96386,5709,419,20,6091,317810,352300,97559,71074,0,0,597,1423,1,66,1316,101,474,1791,8,25,0,15,0,159,361,62,127,856,264,97,248,504,686,349,28,43,13,85,26,150,4,2,5,3039,69,119,4,0,4465,75,9172,8,101,0,0,0,0,0,0,0,0,64980,0,0,0,0,0,0,0,0,0,0,0,0,0,1169,1194752,940702,0,0
62,Rubber products,4,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2,0,0,0,0,17923,0,4870,604,0,19944,6118,1172,1168,60138,65542,0,102260,0,0,0,2,0,512,0,356,0,27,1549,205,5649,8361,675,3998,21510,58108,20918,8014,2038,4835,32068,24484,66437,33311,61022,505,25200,24079,15,2588,5606,2125,16229,8529,2797,258,107,2885,389,41103,46366,34179,3752,17895,106132,8788,52364,47377,111003,35305,20543,5367,1048,13813,10039,477,3176,1769,17499,5352298,600763,196885,140585,970,18457,219,22556,621922,6377,121383,56,755133,69,14,2717,742,1982,273801,12041,0,0,0,57419,583,1402,0,13281,49307,1440,1016537,8173,3424,10583677,1181721,0,0
63,Plastic products,21,72,0,0,3,0,54,0,3,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,3468,0,0,0,0,0,0,1835,0,593,2364,0,4206,16363,8205,15131,59486,37414,387071,69426,199525,131040,7683,74507,7893,49837,453532,4000,6084,152516,581043,56053,205440,46035,204838,66818,125119,41835,1416694,991155,15664,230067,398953,1477,22801,137847,267248,147069,155948,304101,40991,508583,42182,11673,79065,463179,235914,30507,206219,42482,16686,113050,154684,368374,173678,99722,30773,6328,202264,133434,9721,82413,21381,22682,3500070,384050,78918,53335,1752,98544,11911,345206,2295879,4972,144742,66,223489,155,353,19244,103827,5282,1187478,0,0,0,0,0,0,0,8770,0,0,11488,0,20427,0,18704552,6102192,0,1533909
64,Petroleum products,916829,221870,51244,32002,55780,72973,219289,31554,33833,12381,86167,5114,52801,2293,2061,659,4676,200668,291587,546797,0,0,0,0,250006,30277,366216,80552,335606,275612,15107,25781,2883,82238,71818,3,252791,114815,32837,5872,49913,38288,291771,78800,106197,23205,5779,185783,20616,46528,192554,4853,5074,73333,173535,29747,110382,10554,47823,20442,20487,152379,276379,7382458,47810,490164,546911,42239,37997,70291,73321,141102,109853,93840,203419,188661,300043,268099,904780,836834,775385,61940,298732,76151,44406,122963,150803,801608,74977,10438,12946,3515,57257,21309,1375,7267,6832,42062,504057,109240,52498,17060,3912,123923,46802,161576,1998232,7590381,845229,614012,15222310,112640,763686,1690530,65805,3919344,5915437,181374,689000,45584,0,1225288,20837,116245,279212,2863481,2597742,127152,2870031,172011,6005,72005839,30218385,0,0
65,Coal tar products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,61,0,285,256,0,0,0,0,0,0,0,367,0,314,0,0,12,7,63,24,50,18,173,114,1,218,0,1,5,14,855,2625,88940,20079,17085,11557,11,779,2108,1692,452,3460,491,1217,2335,20893,132140,95568,224036,293582,754,78482,705,1121,2805,3584,13459,1115,16,1783,475,502,98,0,247,4,2064,774,11,882,0,1,4732,4052,3145,2068285,214532,0,364,0,0,0,0,0,0,11535,0,0,0,0,11,0,0,2539,0,0,325,0,307,1334,3341935,0,0,0
66,Inorganic heavy chemicals,120,418,1,0,15,1,319,0,20,0,493,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730,0,0,2,20693,2463,22520,0,0,0,10296,4833,7642,19420,450,224447,24423,79120,6377,4489,286186,18176,67036,1038075,13959,9910,182691,92613,75219,68987,44909,403402,17661,15224,552329,747049,1224375,106138,2688044,2691832,153932,424435,845404,979333,900245,760893,522924,125715,7540,869352,78753,199186,636267,1164277,12991,393627,12938,5931,20191,25386,176706,29314,21544,37272,5112,78208,32492,252,7855,849,17547,79613,8322,4066,2780,70,130542,36708,118333,6334,9791,47285,0,0,0,0,0,15723,0,1423548,0,0,0,0,0,12,0,0,0,0,0,0,73,0,21202781,0,0,0
67,Organic heavy chemicals,75,260,1,0,9,1,194,0,9,0,223,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947,0,0,0,1308,0,2006,0,0,0,1324,771,3469,15928,11398,205876,106106,296334,46049,2715,251189,9075,1359875,2563890,29926,6789,371818,200350,614656,404516,22313,74469,12383,26274,186400,3515573,858653,5054,3435757,4382553,63246,575103,697105,1277403,2830589,1074108,6298450,8909,3162,102175,6870,14350,113742,66514,10085,102112,9460,8418,15986,50189,186628,21644,32942,12923,1408,33428,25287,83,7468,494,4988,143483,13057,1895,6280,87,108952,1797,197046,15360,9236,47184,0,0,0,0,0,0,0,3148314,0,0,0,0,0,184,0,0,0,0,0,0,27,0,36374693,0,0,0
68,Fertilizers,561943,227290,31960,10050,46767,20330,81628,66655,21035,9949,104782,4985,68987,2368,0,2261,13240,72459,106601,284842,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1953,34,15,19063,0,50715,0,1306,0,0,0,0,0,374,1,0,362,5,6666,30819,3,8,258,167,58235,1438,1717497,4627,766841,363195,156419,32266,2702,1551,23549,7545,1095,3,0,1365,2,41,187,157,22,1018,3086,4,14,110,580,5360,405,89,28,191,295,2,18,154,36,528,0,0,30,0,196,8,1796,124485,440,118946,0,0,0,0,0,0,0,276746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5523189,0,0,0
69,Pesticides,115684,61470,40,7,79,432,4424,212,270,30510,932,44,1930,571,4516,2962,84,624,1608,56938,0,0,0,0,0,0,0,234,0,0,0,0,0,6,0,0,0,529,7,0,4152,20,19107,0,7131,11973,0,116,4,9,14564,12,1,793,195,21766,95254,1447,2056,13,28,1332,22168,23488,402,518236,722704,2450,628971,67832,32374,4253,184161,31719,42,1,4434,2675,1770,4134,992,39,10961,125,5,76,121,7465,519,23,1350,8,59,155,0,11,2,19,110,1,0,88,0,96,5,2383,48441,2940,0,0,0,0,0,0,47656,0,73799,9,0,0,0,0,0,0,0,0,0,0,0,5,0,2913361,370951,0,0
70,"Paints, varnishes and
 lacquers",1,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4866,0,285,0,0,0,1,1,12,51,2,2693,0,602,0,17066,165087,9850,12179,102318,8051,3236,58168,42566,46017,17517,5545,195434,55201,27252,25861,90714,14395,97,35243,47684,37,6663,118169,32443,17193,15388,3701,24118,777,13967,8550,16607,62279,68748,6834,42760,3869,4200,7051,15087,48408,27208,1886,3404,746,13152,7056,255,1101,887,6915,147102,17597,4512,1220,95,10687,1831,64586,3805351,354,0,0,0,0,0,0,54,0,252817,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5873683,0,0,0
71,"Soaps, cosmetics &
 glycerin",1,4,0,0,0,0,7,0,3,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,86,0,0,0,6,9,1002,906,354,8782,0,7604,29201,6876,12754,646,10049,15401,620,2263,33939,51671,7529,35682,1510,10296,484,1735,6132,8762,13375,26,34661,81404,218,28493,36601,638900,9898,69476,49131,128,13,3614,12,122,787,2788,31,1527,44,21,398,1496,2427,293,4,173,56,3380,1392,59,194,104,74,6610,1,4,33,1,4627,410,27227,125,95,1243,0,0,0,0,0,0,0,187684,1280,0,0,0,0,0,0,0,0,0,0,0,69,455,1465568,6691769,0,0
72,"Synthetic fibers, resin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,937,0,568,0,0,0,0,0,0,0,11,1571,0,66,0,602,124626,4518,97324,1207621,3876,15137,431256,318861,17160,77711,2982,16491,22600,31850,1124478,1999685,40528,277,216444,283173,30,9336,116951,11661,401713,87032,1914,5234,122,26154,145,12174,37447,40947,3604,49874,4088,1723,11711,56060,98087,21487,77494,14087,2489,37554,41224,599,7438,1658,9884,190188,233907,3081,14451,83,89274,3329,505240,10282,940,0,0,0,0,0,0,0,0,927327,0,0,0,0,0,0,0,0,0,0,0,0,21,0,9208399,0,0,0
73,Other chemicals,59,206,1,0,7,1,200,0,42,2,1030,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6508,288463,1356284,422984,587061,1,12316,999,393273,0,0,0,1752,465,0,0,0,66,2142,899,9762,640,45994,10480,22226,229515,17761,6067,82163,187686,16964,59464,15353,228452,80491,75888,108351,725874,607193,63688,306831,418602,2132,62802,266315,897592,272386,205970,131598,8244,536,16605,6009,77074,94721,110547,19106,62904,8168,4859,11607,18234,56922,30593,15235,3285,976,16341,10868,153,2613,266,1317,93474,30198,12950,3544,28,44546,12628,48644,4101,33837,19612,0,0,0,0,0,1038,0,670032,0,0,0,0,0,0,0,0,13,0,0,0,209,0,10131873,1145881,0,0
