Product Name,64 Petroleum products,65 Coal tar products,66 Inorganic heavy,67 Organic heavy,68 Fertilizers,69 Pesticides,"70 Paints, varnishes","71 Soaps, cosmetics &","72 Synthetic fibers, resin"
Miscellaneous manufacturing,147026,876,9493,12852,453,2164,4856,4015,2438
Construction and construction services,1321738,47079,76003,96603,1365,15008,18517,28114,25633
Electricity,1001335,13843,154339,194270,3817,24372,34853,40841,28720
Water Supply,173581,4215,17165,14207,194,1553,2601,1519,179
Railway Transport,1622744,164480,95663,54612,15371,6720,24704,52158,9476
Land transport,1721087,161895,476698,304258,84704,50726,184113,403445,62165
Water Transport,143478,13924,17967,12675,2721,2576,4059,6105,823
Air Transport,724530,19941,42850,33864,4602,5231,19473,50908,8645
Supportive and Auxiliary transport activities,163079,17810,41862,26730,7956,4871,15740,34487,4348
Storage and warehousing,0,0,2,2,0,1,1,1,1
Communication services,322533,4434,12060,16059,386,3793,4238,16404,3841
Trade,3550300,566039,955284,706628,88779,220743,391405,530832,103787
Hotels & Restaurant,136293,17377,0,0,0,0,0,0,10893
Financial services,1280720,10183,162921,216980,8263,39130,60038,238771,91092
Insurance services,38577,336,3505,3866,107,638,850,1474,1586
Ownership of dwellings,0,0,0,0,0,0,0,0,0
Education and research,10212,1302,0,0,0,0,0,0,0
Medical and Health,0,0,0,0,0,0,0,0,0
Legal services,0,0,0,0,0,0,0,0,0
Computer related services,1012,4,39,53,2,4,20,11,9
Other Business services,1161296,10281,48451,63560,3636,7612,6851,119615,26935
Real estate services,0,0,0,0,0,0,0,0,0
Renting of machinery & equipment,6372,61,3712,4050,3,379,673,2835,2857
"Community, social and personal services",6505,37,171,379,0,22,63,350,84
Other services,18144,2471,792,861,16,284,242,615,267
Public administration and defence,0,0,0,0,0,0,0,0,0
Total Input,85701471,2221991,14364713,23043454,995756,2592339,4160486,6615678,7297354
GVA,7581530,49865,1508362,3127496,479,75889,190889,337562,258594
Total Output,113246028,3422630,19070500,31186908,1124972,3345795,6051724,8453951,9389101
